date,delhi_wazirpm2.5
2019/10/1,120
2019/10/2,113
2019/10/3,154
2019/10/4,133
2019/10/5,119
2019/10/6,146
2019/10/7,143
2019/10/8,122
2019/10/9,160
2019/10/10,190
2019/10/11,172
2019/10/12,188
2019/10/13,217
2019/10/14,201
2019/10/15,200
2019/10/16,219
2019/10/17,204
2019/10/18,162
2019/10/19,161
2019/10/20,145
2019/10/21,207
2019/10/22,184
2019/10/23,207
2019/10/24,290
2019/10/25,208
2019/10/26,247
2019/10/27,326
2019/10/28,398
2019/10/29,400
2019/10/30,390
2019/10/31,424
2019/11/1,495
2019/11/2,384
2019/11/3,828
2019/11/4,400
2019/11/5,298
2019/11/6,197
2019/11/7,257
2019/11/8,233
2019/11/9,229
2019/11/10,246
2019/11/11,342
2019/11/12,509
2019/11/13,436
2019/11/14,446
2019/11/15,420
2019/11/16,265
2019/11/17,178
2019/11/18,209
2019/11/19,223
2019/11/20,296
2019/11/21,281
2019/11/22,281
2019/11/23,211
2019/11/24,172
2019/11/25,203
2019/11/26,204
2019/11/27,150
2019/11/28,116
2019/11/29,141
2019/11/30,194
2019/12/1,215
2019/12/2,249
2019/12/3,248
2019/12/4,272
2019/12/5,412
2019/12/6,334
2019/12/7,324
2019/12/8,353
2019/12/9,298
2019/12/10,359
2019/12/11,441
2019/12/12,400
2019/12/13,185
2019/12/14,188
2019/12/15,191
2019/12/16,178
2019/12/17,192
2019/12/18,242
2019/12/19,413
2019/12/20,451
2019/12/21,341
2019/12/22,224
2019/12/23,237
2019/12/24,351
2019/12/25,233
2019/12/26,272
2019/12/27,340
2019/12/28,360
2019/12/29,397
2019/7/1,131
2019/7/2,152
2019/7/3,112
2019/7/4,100
2019/7/5,140
2019/7/6,102
2019/7/7,109
2019/7/8,135
2019/7/9,131
2019/7/10,151
2019/7/11,165
2019/7/12,164
2019/7/13,154
2019/7/14,157
2019/7/15,113
2019/7/16,99
2019/7/17,95
2019/7/18,115
2019/7/19,153
2019/7/20,137
2019/7/21,130
2019/7/22,157
2019/7/23,174
2019/7/24,142
2019/7/25,92
2019/7/26,108
2019/7/27,111
2019/7/28,92
2019/7/29,105
2019/7/30,115
2019/7/31,98
2019/8/1,105
2019/8/2,99
2019/8/3,138
2019/8/4,138
2019/8/5,155
2019/8/6,111
2019/8/7,113
2019/8/8,121
2019/8/9,79
2019/8/10,77
2019/8/11,104
2019/8/12,110
2019/8/13,90
2019/8/14,98
2019/8/15,89
2019/8/16,69
2019/8/17,57
2019/8/18,59
2019/8/19,118
2019/8/20,108
2019/8/21,122
2019/8/22,120
2019/8/23,143
2019/8/24,149
2019/8/25,104
2019/8/26,104
2019/8/27,128
2019/8/28,151
2019/8/29,123
2019/8/30,135
2019/8/31,155
2019/9/1,115
2019/9/2,148
2019/9/3,155
2019/9/4,168
2019/9/5,117
2019/9/6,134
2019/9/7,256
2019/9/8,95
2019/9/9,144
2019/9/10,153
2019/9/11,168
2019/9/12,162
2019/9/13,118
2019/9/14,100
,
2019/9/16,151
2019/9/17,154
2019/9/18,130
2019/9/19,106
2019/9/20,105
,
2019/9/22,134
2019/9/23,169
2019/9/24,145
2019/9/25,124
2019/9/26,115
2019/9/27,79
2019/9/28,105
2019/9/29,83
2019/9/30,149
2019/6/15,163
2019/6/16,114
2019/6/17,118
2019/6/18,83
2019/6/19,155
2019/6/20,106
2019/6/21,155
2019/6/22,156
2019/6/23,121
2019/6/24,82
2019/6/25,148
2019/6/26,151
2019/6/27,146
2019/6/28,141
2019/6/29,141
2019/6/30,140
,
,
,
,
,
,
,
,
2019/4/1,143
2019/4/2,193
2019/4/3,170
2019/4/4,212
2019/4/5,203
2019/4/6,187
2019/4/7,260
2019/4/8,165
2019/4/9,184
2019/4/10,188
2019/4/11,156
2019/4/12,144
2019/4/13,130
2019/4/14,137
2019/4/15,148
2019/4/16,150
2019/4/17,104
2019/4/18,139
2019/4/19,159
2019/4/20,195
2019/4/21,217
2019/4/22,204
2019/4/23,201
2019/4/24,174
2019/4/25,181
2019/4/26,176
2019/4/27,168
2019/4/28,159
2019/4/29,168
2019/4/30,186
2019/5/1,182
2019/5/2,160
2019/5/3,147
2019/5/4,163
2019/5/5,202
2019/5/6,233
2019/5/7,232
2019/5/8,240
2019/5/9,231
2019/5/10,195
2019/5/11,188
2019/5/12,243
2019/5/13,264
2019/5/14,135
2019/5/15,174
2019/5/16,151
2019/5/17,172
2019/5/18,129
2019/5/19,170
2019/5/20,178
2019/5/21,171
2019/5/22,163
2019/5/23,204
2019/5/24,119
2019/5/25,120
2019/5/26,147
2019/5/27,151
2019/5/28,147
2019/5/29,167
2019/5/30,184
2019/5/31,184
2019/6/1,192
2019/6/2,166
2019/6/3,150
2019/6/4,145
2019/6/5,155
2019/6/6,157
2019/6/7,139
2019/6/8,148
2019/6/9,200
2019/6/10,154
2019/6/11,187
2019/6/12,126
2019/6/13,134
2019/6/14,137
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2019/1/1,414
2019/1/2,480
2019/1/3,496
2019/1/4,352
2019/1/5,378
2019/1/6,261
2019/1/7,271
2019/1/8,240
2019/1/9,224
2019/1/10,242
2019/1/11,378
2019/1/12,417
2019/1/13,391
2019/1/14,176
2019/1/15,222
2019/1/16,381
2019/1/17,384
2019/1/18,289
2019/1/19,317
2019/1/20,478
2019/1/21,311
2019/1/22,156
2019/1/23,247
2019/1/24,230
2019/1/25,174
2019/1/26,180
2019/1/27,221
2019/1/28,263
2019/1/29,220
2019/1/30,307
2019/1/31,316
2019/2/1,289
2019/2/2,286
2019/2/3,236
2019/2/4,270
2019/2/5,415
2019/2/6,313
2019/2/7,174
2019/2/8,168
2019/2/9,182
2019/2/10,243
2019/2/11,265
2019/2/12,308
2019/2/13,300
2019/2/14,259
2019/2/15,225
2019/2/16,191
2019/2/17,192
2019/2/18,226
2019/2/19,225
2019/2/20,214
2019/2/21,180
2019/2/22,169
2019/2/23,150
2019/2/24,176
2019/2/25,170
2019/2/26,172
2019/2/27,151
2019/2/28,182
2019/3/1,136
2019/3/2,205
2019/3/3,172
2019/3/4,181
2019/3/5,161
2019/3/6,177
2019/3/7,192
2019/3/8,166
2019/3/9,152
2019/3/10,173
2019/3/11,162
2019/3/12,135
2019/3/13,171
2019/3/14,191
2019/3/15,159
2019/3/16,158
2019/3/17,173
2019/3/18,188
2019/3/19,188
2019/3/20,173
2019/3/21,188
2019/3/22,106
2019/3/23,135
2019/3/24,136
2019/3/25,145
2019/3/26,154
2019/3/27,159
2019/3/28,219
2019/3/29,184
2019/3/30,178
2019/3/31,134
2018/10/1,155
2018/10/2,168
2018/10/3,145
2018/10/4,174
2018/10/5,210
2018/10/6,131
2018/10/7,167
2018/10/8,205
2018/10/9,192
2018/10/10,179
2018/10/11,163
2018/10/12,163
2018/10/13,244
2018/10/14,190
2018/10/15,221
2018/10/16,249
2018/10/17,227
2018/10/18,241
2018/10/19,222
2018/10/20,263
2018/10/21,231
2018/10/22,209
2018/10/23,223
2018/10/24,289
2018/10/25,264
2018/10/26,300
2018/10/27,284
2018/10/28,381
2018/10/29,313
2018/10/30,361
2018/10/31,334
2018/11/1,388
2018/11/2,331
2018/11/3,259
2018/11/4,196
2018/11/5,464
2018/11/6,277
2018/11/7,320
2018/11/8,545
2018/11/9,423
2018/11/10,428
2018/11/11,404
2018/11/12,404
2018/11/13,393
2018/11/14,257
2018/11/15,195
2018/11/16,243
2018/11/17,247
2018/11/18,306
2018/11/19,290
2018/11/20,332
2018/11/21,313
2018/11/22,271
2018/11/23,295
2018/11/24,200
2018/11/25,235
2018/11/26,330
2018/11/27,331
2018/11/28,299
2018/11/29,342
2018/11/30,299
2018/12/1,255
2018/12/2,302
2018/12/3,317
2018/12/4,348
2018/12/5,286
2018/12/6,349
2018/12/7,305
2018/12/8,311
2018/12/9,314
2018/12/10,425
2018/12/11,421
2018/12/12,349
2018/12/13,183
2018/12/14,220
2018/12/15,206
2018/12/16,253
2018/12/17,274
2018/12/18,290
2018/12/19,338
2018/12/20,383
2018/12/21,366
2018/12/22,460
2018/12/23,581
2018/12/24,506
2018/12/25,386
2018/12/26,394
2018/12/27,413
2018/12/28,364
2018/12/29,387
2018/12/30,450
2018/7/1,119
2018/7/2,126
2018/7/3,136
2018/7/4,148
2018/7/5,140
2018/7/6,149
2018/7/7,157
2018/7/8,151
2018/7/9,155
2018/7/10,128
2018/7/11,128
2018/7/12,126
2018/7/13,100
2018/7/14,93
2018/7/15,102
2018/7/16,87
2018/7/17,102
2018/7/18,107
2018/7/19,107
2018/7/20,110
2018/7/21,157
2018/7/22,106
2018/7/23,103
2018/7/24,141
2018/7/25,138
2018/7/26,89
2018/7/27,76
2018/7/28,91
2018/7/29,151
2018/7/30,140
2018/7/31,159
2018/8/1,149
2018/8/2,163
2018/8/3,161
2018/8/4,163
2018/8/5,166
2018/8/6,123
2018/8/7,140
2018/8/8,131
2018/8/9,142
2018/8/10,123
2018/8/11,108
2018/8/12,125
2018/8/13,113
2018/8/14,117
2018/8/15,112
2018/8/16,103
2018/8/17,89
2018/8/18,100
2018/8/19,107
2018/8/20,115
2018/8/21,150
2018/8/22,172
2018/8/23,102
2018/8/24,113
2018/8/25,112
2018/8/26,90
2018/8/27,78
2018/8/28,98
2018/8/29,151
2018/8/30,129
2018/8/31,136
2018/9/1,125
2018/9/2,118
2018/9/3,123
2018/9/4,164
2018/9/5,129
2018/9/6,124
2018/9/7,117
2018/9/8,117
2018/9/9,137
2018/9/10,146
2018/9/11,115
2018/9/12,118
2018/9/13,111
2018/9/14,113
2018/9/15,179
2018/9/16,134
2018/9/17,147
2018/9/18,160
2018/9/19,154
2018/9/20,166
2018/9/21,182
2018/9/22,109
2018/9/23,129
2018/9/24,86
2018/9/25,79
2018/9/26,122
2018/9/27,158
2018/9/28,170
2018/9/29,172
2018/9/30,142
2018/4/1,192
2018/4/2,208
2018/4/3,188
2018/4/5,165
2018/4/6,171
2018/4/7,150
2018/4/8,155
2018/4/9,145
2018/4/10,190
2018/4/11,130
2018/4/12,132
2018/4/13,142
2018/4/14,164
2018/4/15,170
2018/4/16,183
2018/4/17,163
2018/4/18,146
2018/4/19,188
2018/4/20,218
2018/4/21,196
2018/4/22,147
2018/4/23,150
2018/4/24,170
2018/4/25,187
2018/4/26,187
2018/4/27,177
2018/4/28,178
2018/4/29,182
2018/4/30,182
2018/5/1,163
2018/5/2,181
2018/5/3,150
2018/5/4,143
2018/5/5,167
2018/5/6,197
2018/5/7,183
2018/5/8,149
2018/5/9,146
2018/5/10,164
2018/5/11,214
2018/5/12,216
2018/5/13,176
2018/5/14,140
2018/5/15,165
2018/5/16,166
2018/5/17,183
2018/5/18,162
2018/5/19,190
2018/5/20,167
2018/5/21,163
2018/5/22,174
2018/5/23,200
2018/5/24,186
2018/5/25,164
2018/5/26,184
2018/5/27,181
2018/5/28,175
2018/5/29,193
2018/5/30,173
2018/5/31,169
2018/6/1,164
2018/6/3,152
2018/6/4,160
2018/6/5,168
2018/6/6,157
2018/6/7,162
2018/6/8,180
2018/6/9,148
2018/6/10,151
2018/6/11,168
2018/6/12,252
2018/6/13,407
2018/6/14,356
2018/6/15,260
2018/6/16,251
2018/6/17,168
2018/6/18,149
2018/6/19,150
2018/6/20,160
2018/6/21,183
2018/6/22,171
2018/6/23,168
2018/6/24,155
2018/6/25,171
2018/6/26,162
2018/6/27,142
2018/6/28,83
2018/6/29,151
2018/6/30,136
2018/1/19,437
2018/1/20,350
2018/1/23,314
2018/1/24,274
2018/1/25,260
2018/1/26,268
2018/1/27,313
2018/1/28,267
2018/1/29,398
2018/1/30,277
2018/1/31,241
2018/2/1,325
2018/2/2,251
2018/2/3,222
2018/2/4,240
2018/2/5,275
2018/2/6,232
2018/2/7,218
2018/2/8,278
2018/2/9,325
2018/2/10,316
2018/2/11,228
2018/2/12,180
2018/2/13,208
2018/2/14,162
2018/2/15,168
2018/2/16,189
2018/2/17,195
2018/2/18,189
2018/2/19,244
2018/2/20,232
2018/2/21,385
2018/2/22,200
2018/2/23,219
2018/2/24,235
2018/2/25,176
2018/2/26,154
2018/2/27,179
2018/2/28,214
2018/3/1,191
2018/3/2,203
2018/3/3,182
2018/3/4,163
2018/3/5,160
2018/3/6,160
2018/3/7,162
2018/3/8,249
2018/3/9,164
2018/3/10,158
2018/3/11,195
2018/3/12,203
2018/3/13,236
2018/3/14,180
2018/3/15,230
2018/3/16,190
2018/3/17,185
2018/3/19,163
2018/3/20,194
2018/3/21,228
2018/3/22,169
2018/3/23,161
2018/3/24,171
2018/3/25,180
2018/3/26,172
2018/3/27,206
2018/3/28,242
2018/3/29,158
2018/3/30,173
2018/3/31,220
2020/3/28, 
2019/12/31, 
2019/9/15, 
2019/9/21, 
2018/12/31, 
2018/4/4, 
2018/6/2, 
2018/1/18, 
2018/1/22, 
2018/3/18, 
