date,kaithal pm 2.5
2019/10/1,79
2019/10/2,87
2019/10/3,109
2019/10/4,64
2019/10/5,62
2019/10/6,83
2019/10/7,85
2019/10/8,84
2019/10/9,119
2019/10/10,118
2019/10/11,114
2019/10/12,146
2019/10/13,154
2019/10/14,149
2019/10/15,155
2019/10/16,171
2019/10/17,143
2019/10/18,112
2019/10/19,100
2019/10/20,72
2019/10/21,77
2019/10/22,98
2019/10/23,147
2019/10/24,165
2019/10/25,160
2019/10/26,165
2019/10/27,178
2019/10/28,168
2019/10/29,195
2019/10/30,163
2019/10/31,230
2019/11/1,223
2019/11/2,186
2019/11/3,272
2019/11/4,258
2019/11/5,223
2019/11/6,201
2019/11/7,114
2019/11/8,108
2019/11/9,140
2019/11/10,188
2019/11/11,220
2019/11/12,217
2019/11/13,202
2019/11/14,181
2019/11/15,204
2019/11/16,140
2019/11/17,94
2019/11/18,114
2019/11/19,138
2019/11/20,169
2019/11/21,166
2019/11/22,162
2019/11/23,118
2019/11/24,121
2019/11/25,125
2019/11/26,110
2019/11/27,75
2019/11/28,63
2019/11/29,75
2019/11/30,97
2019/12/1,125
2019/12/2,148
2019/12/3,150
2019/12/4,168
2019/12/5,177
2019/12/6,166
2019/12/7,151
2019/12/8,159
2019/12/9,167
2019/12/10,194
2019/12/11,199
2019/12/12,176
2019/12/13,98
2019/12/14,108
2019/12/15,99
2019/12/16,100
2019/12/17,129
2019/12/18,132
2019/12/19,154
2019/12/20,166
2019/12/21,165
2019/12/22,140
2019/12/23,152
2019/12/24,160
2019/12/25,157
2019/12/26,155
2019/12/27,169
2019/12/28,171
2019/12/29,153
2019/7/1,163
2019/7/2,142
2019/7/3,152
2019/7/4,94
2019/7/5,97
2019/7/6,120
2019/7/7,113
2019/7/8,135
2019/7/9,128
2019/7/10,126
2019/7/11,179
2019/7/12,161
2019/7/13,179
2019/7/14,123
2019/7/15,111
2019/7/16,120
2019/7/17,97
2019/7/18,104
2019/7/19,105
2019/7/20,129
2019/7/21,129
2019/7/22,142
2019/7/23,154
2019/7/24,144
2019/7/25,88
2019/7/26,111
2019/7/27,76
2019/7/28,72
2019/7/29,73
2019/7/30,89
2019/7/31,72
2019/8/1,105
2019/8/2,94
2019/8/3,87
2019/8/4,101
2019/8/5,124
2019/8/6,113
2019/8/7,86
2019/8/8,96
2019/8/9,96
2019/8/10,81
2019/8/11,90
2019/8/12,110
2019/8/13,80
2019/8/14,104
2019/8/15,93
2019/8/16,88
2019/8/17,112
,
,
2019/8/20,63
2019/8/21,62
2019/8/22,98
2019/8/23,107
2019/8/24,91
2019/8/25,82
2019/8/26,63
2019/8/27,69
2019/8/28,80
2019/8/29,86
2019/8/30,75
2019/8/31,94
2019/9/1,92
2019/9/2,69
2019/9/3,88
2019/9/4,99
2019/9/5,60
2019/9/6,73
2019/9/7,84
2019/9/8,81
2019/9/9,110
2019/9/10,130
2019/9/11,127
2019/9/12,135
2019/9/13,82
2019/9/14,80
2019/9/15,59
2019/9/16,93
2019/9/17,93
2019/9/18,89
2019/9/19,60
2019/9/20,72
2019/9/21,85
2019/9/22,75
2019/9/23,66
2019/9/24,83
2019/9/25,78
2019/9/26,71
2019/9/27,62
2019/9/28,50
2019/9/29,47
2019/9/30,65
2019/6/15,146
2019/6/16,104
2019/6/17,123
2019/6/18,104
2019/6/19,159
2019/6/20,143
2019/6/21,137
2019/6/22,143
2019/6/23,137
2019/6/24,86
2019/6/25,99
2019/6/26,143
2019/6/27,140
2019/6/28,146
2019/6/29,164
2019/6/30,148
, 
, 
, 
, 
